latitude,longitude
12.546166,76.928373
12.546166,76.928373
12.546173,76.928452
12.546165,76.928526
12.546149,76.92861
12.546133,76.928699
12.546119,76.928787
12.546101,76.928898
12.546182,76.929033
12.546064,76.929126
12.546046,76.929233
12.546023,76.92937
12.546003,76.929488
12.545995,76.929624
12.545992,76.929719
12.545989,76.929797
12.545986,76.929868
12.546059,76.929934
12.545983,76.929949
12.545983,76.929974
12.545982,76.929999
12.545981,76.930017
12.545979,76.930071
12.545979,76.930086
12.545977,76.930146
12.545975,76.930211
12.545974,76.930265
12.545972,76.930301
12.545971,76.930352
12.54597,76.93037
12.54597,76.930382
12.545969,76.930412
12.545968,76.930451
12.545967,76.930501
12.545966,76.930536
12.545963,76.93063
12.54596,76.930711
12.545958,76.930801
12.545957,76.93084
12.545954,76.930932
12.545954,76.931036
12.545959,76.931159
12.545964,76.931284
12.545971,76.931407
12.54598,76.931526
12.545993,76.931667
12.546009,76.931789
12.546026,76.931912
12.546043,76.932021
12.546055,76.932097
12.546068,76.932173
12.546081,76.932248
12.54609,76.932304
12.546097,76.932339
12.5461,76.932354
12.546101,76.932359
12.5461,76.932356
12.546101,76.932359
12.546102,76.932364
12.546107,76.932386
12.546111,76.932404
12.546118,76.932436
12.546127,76.932476
12.546136,76.932516
12.546145,76.932554
12.546157,76.932607
12.546171,76.93267
12.546188,76.932745
12.546206,76.932826
12.546218,76.93291
12.546232,76.933002
12.546245,76.933091
12.546257,76.933177
12.54627,76.933265
12.546285,76.933363
12.546302,76.93346
12.546321,76.933571
12.546339,76.933674
12.546356,76.93377
12.54637,76.933853
12.546381,76.933914
12.54639,76.933963
12.546396,76.934
12.546402,76.934033
12.546404,76.934047
12.546407,76.934062
12.546408,76.934068
12.546408,76.934067
12.546408,76.934069
12.546407,76.934066
12.546408,76.934067
12.546407,76.934065
12.546406,76.93406
12.546403,76.934042
12.546533,76.933984
12.546525,76.933941
12.546517,76.933896
12.546509,76.933851
12.546499,76.933798
12.546487,76.933731
12.546471,76.933648
12.546456,76.933565
12.546441,76.93348
12.546423,76.933383
12.546404,76.933273
12.54638,76.933146
12.54635,76.933004
12.546321,76.932857
12.546297,76.932712
12.546273,76.932558
12.546247,76.932392
12.546218,76.93221
12.546189,76.932023
12.54616,76.931821
12.546151,76.931613
12.546141,76.931394
12.546131,76.931175
12.546121,76.930961
12.546112,76.930743
12.546101,76.930523
12.546091,76.930299
12.546129,76.930067
12.5461,76.929828
12.546131,76.929578
12.546167,76.929324
12.546209,76.929061
12.546264,76.928793
12.54632,76.928522
12.546378,76.928244
12.546446,76.927977
12.546517,76.927701
12.54659,76.927415
12.546665,76.927123
12.546743,76.92682
12.546818,76.926525
12.546891,76.926231
12.546961,76.925944
12.547028,76.925662
12.547094,76.925379
12.547159,76.925103
12.547222,76.924833
12.547284,76.924566
12.547326,76.924288
12.547366,76.924011
12.547403,76.923713
12.547441,76.923405
12.547517,76.92307
12.547466,76.922782
12.547462,76.922467
12.547426,76.922139
12.547391,76.921817
12.547318,76.921503
12.547244,76.921184
12.547169,76.920859
12.547079,76.920529
12.546983,76.920196
12.546887,76.919862
12.546789,76.91952
12.546691,76.919179
12.546596,76.91885
12.5465,76.918515
12.546413,76.9182
12.54633,76.917875
12.54625,76.917561
12.546173,76.917241
12.546107,76.916925
12.54604,76.916606
12.545969,76.916295
12.545896,76.915974
12.545853,76.91565
12.545807,76.915311
12.545764,76.914979
12.54572,76.91463
12.545677,76.914286
12.545639,76.913936
12.545602,76.91359
12.545566,76.913248
12.54553,76.912914
12.545494,76.912578
12.54546,76.912254
12.545426,76.911926
12.545393,76.911597
12.545359,76.911266
12.545324,76.910925
12.545289,76.910583
12.545254,76.910239
12.545219,76.909899
12.545184,76.909557
12.545147,76.909215
12.545109,76.908868
12.545071,76.908525
12.545033,76.908181
12.544996,76.907842
12.544959,76.907507
12.544922,76.907173
12.544885,76.906839
12.544847,76.906494
12.544812,76.906151
12.544776,76.905802
12.544739,76.905443
12.544703,76.905086
12.544666,76.904723
12.544628,76.904353
12.544591,76.903983
12.544553,76.903612
12.544514,76.903243
12.544474,76.902868
12.544434,76.902493
12.544395,76.902121
12.544354,76.901742
12.544314,76.901365
12.544273,76.900986
12.544233,76.900604
12.544192,76.900224
12.544151,76.89984
12.544111,76.899461
12.544071,76.899083
12.544032,76.898709
12.543993,76.898336
12.543956,76.897983
12.543921,76.897649
12.543887,76.897327
12.543855,76.897015
12.543822,76.896704
12.54379,76.896397
12.543759,76.8961
12.543728,76.895798
12.543698,76.895505
12.543667,76.895201
12.543641,76.894898
12.543619,76.89459
12.543601,76.894272
12.543591,76.893964
12.543581,76.89365
12.543571,76.893336
12.543577,76.893021
12.543602,76.892721
12.543628,76.892414
12.543653,76.892106
12.543683,76.891797
12.543713,76.891488
12.543743,76.891185
12.543773,76.890884
12.543802,76.890585
12.543867,76.890287
12.543931,76.890003
12.543993,76.889728
12.544052,76.889464
12.544109,76.88921
12.544166,76.888955
12.544224,76.888696
12.544379,76.888458
12.544515,76.888205
12.544455,76.887878
12.544543,76.887598
12.544635,76.887323
12.544731,76.887041
12.544827,76.886759
12.544912,76.886461
12.544995,76.886168
12.545076,76.885868
12.545152,76.885553
12.545226,76.885243
12.545293,76.884935
12.54535,76.884625
12.545406,76.884318
12.545447,76.884007
12.545488,76.883692
12.54553,76.883374
12.545563,76.88306
12.545588,76.882748
12.545603,76.882443
12.545611,76.882139
12.545618,76.881837
12.545626,76.88154
12.545634,76.881237
12.545641,76.880937
12.545649,76.880644
12.545631,76.880352
12.545609,76.88005
12.545586,76.87974
12.545563,76.879428
12.545532,76.879111
12.545483,76.878788
12.545435,76.878466
12.545381,76.87814
12.545325,76.877812
12.545257,76.877483
12.545187,76.877146
12.545113,76.876808
12.54503,76.876466
12.544946,76.876123
12.544846,76.875777
12.544728,76.875427
12.544612,76.875081
12.544495,76.874735
12.544347,76.874389
12.544197,76.874042
12.544046,76.873693
12.543892,76.873349
12.543731,76.873009
12.543574,76.872675
12.543397,76.87235
12.543205,76.872043
12.543013,76.871734
12.542824,76.87143
12.54264,76.871129
12.542464,76.87084
12.542291,76.870563
12.542097,76.870311
12.541902,76.870058
12.541704,76.869805
12.541502,76.869557
12.541284,76.869319
12.541067,76.869083
12.540844,76.868841
12.540617,76.868594
12.540392,76.868357
12.540168,76.868129
12.53995,76.867908
12.539735,76.867691
12.539525,76.867483
12.539307,76.867277
12.539073,76.867086
12.538831,76.866895
12.53859,76.866719
12.538347,76.866541
12.538098,76.866359
12.537838,76.866178
12.53758,76.866007
12.537315,76.865833
12.537037,76.865654
12.536751,76.865487
12.536463,76.865319
12.536166,76.865148
12.535856,76.864991
12.535541,76.864831
12.535223,76.86467
12.534902,76.864515
12.534574,76.864382
12.534238,76.864251
12.533908,76.864126
12.533572,76.864
12.533235,76.863892
12.532907,76.863793
12.532581,76.863693
12.532267,76.863598
12.531964,76.863508
12.531679,76.863446
12.531391,76.863384
12.5311,76.86332
12.5308,76.86326
12.5305,76.863212
12.530201,76.863166
12.529882,76.863118
12.529571,76.863071
12.529266,76.863025
12.528961,76.862983
12.528656,76.862946
12.528349,76.862908
12.528035,76.86287
12.527717,76.862831
12.527391,76.862855
12.527075,76.862752
12.52675,76.862709
12.526433,76.862669
12.526125,76.862629
12.52582,76.86259
12.525521,76.862541
12.525209,76.862542
12.524914,76.862486
12.524618,76.86243
12.524324,76.862374
12.524055,76.862253
12.523783,76.862189
12.523515,76.862126
12.523247,76.862062
12.522968,76.861996
12.522684,76.861924
12.522393,76.861844
12.522098,76.861764
12.521799,76.861682
12.521494,76.8616
12.521197,76.861516
12.520916,76.86143
12.520649,76.861348
12.520388,76.861268
12.520132,76.861189
12.519874,76.861102
12.519628,76.861002
12.519382,76.860892
12.519128,76.860778
12.518892,76.860644
12.51866,76.860496
12.518429,76.860347
12.518195,76.860197
12.517961,76.860034
12.517761,76.859853
12.517554,76.859666
12.517346,76.859475
12.517139,76.859281
12.516947,76.859058
12.516768,76.858826
12.516589,76.858587
12.516414,76.858339
12.516251,76.858072
12.516088,76.857804
12.515921,76.857521
12.515766,76.857227
12.515609,76.856927
12.515449,76.856623
12.515287,76.856307
12.515137,76.855996
12.514985,76.855682
12.514841,76.855384
12.514705,76.855103
12.514576,76.854837
12.514454,76.854584
12.514337,76.854341
12.514223,76.854093
12.514106,76.853835
12.513992,76.853585
12.51388,76.853338
12.51377,76.853096
